"item_id","construct","subconstruct","item_format","age_band","entry_kind","stimulus_modality","cognitive_process","response_format","engagement_affordance","adaptivity_fit","tail_discrimination","coachability_bias_risk","advantage_vs_cogat","source_name","source_url","ip_status","reuse_note"
"CX-001","complementary","divergent_thinking","Alternative Uses Task: name as many different uses as you can for a common object (e.g., a brick); scored for fluency, flexibility, originality, elaboration","6-8","example_item","verbal","divergent/creative ideation","constructed","'inventor mode' brainstorm sprint with a countdown timer and pop-up idea-bubbles; rewards quantity first, then surprises with originality bonuses","low - open-ended generation cannot be delivered as a fixed-branch CAT; needs rubric or automated originality scoring","med - originality scoring separates genuinely creative talent, but inter-rater/scoring reliability is the bottleneck at the high tail","scoring is subjective (low inter-rater reliability); fluency is coachable via practice; heavy verbal-expression load can penalize ELL/quiet students","captures divergent/creative thinking that CogAT's convergent reasoning items ignore entirely (Renzulli creativity ring); surfaces creatively gifted students a reasoning cutoff misses","Guilford Alternative/Alternate Uses Task (public paradigm)","https://en.wikipedia.org/wiki/Guilford%27s_Alternate_Uses","research_described","adapt_ok - classic public divergent-thinking paradigm; build local prompts and an originality scoring key"
"CX-002","complementary","divergent_thinking","picture-prompted alternate uses for younger children: child sees a familiar object (paper plate) and says as many different uses as possible; scored for fluency and originality","4-5","example_item","pictorial","divergent/creative ideation","spoken","friendly on-screen character asks 'what else could this be?'; each new idea inflates a balloon; oral responses so no writing required","low - open-ended oral generation needs human/automated scoring rather than adaptive branching","low - at ages 4-5 responses are sparse and scoring is noisy, so high-tail separation is weak","oral scoring is subjective; output varies with vocabulary/exposure (SES-linked); shy children under-produce, risking false negatives","gives non-readers a creativity signal CogAT never collects; broadens who is flagged for talent development in early grades","Wallach-Kogan Creativity Test - Alternate Uses (public paradigm)","https://upseducation.com/wallach-kogan-creativity-test/","research_described","adapt_ok - Wallach-Kogan tasks are a public game-like paradigm; adapt to oral/pictorial administration for pre-readers"
"CX-003","complementary","divergent_thinking","Instances task: 'name all the round things you can think of' (or things that make noise); scored for fluency and category flexibility","K-1","example_item","verbal","divergent/associative fluency","spoken","rapid-fire 'idea machine' where each spoken answer lights up a new star; oral and untimed-feeling to reduce anxiety","low - open generation; not CAT-compatible, requires a scoring key","low - young children's fluency overlaps heavily; weak discrimination at the high end without rich local norms","oral scoring subjective; output confounded with vocabulary/verbal ability and adult prompting; exposure bias present","provides an ideational-fluency signal in kindergarten that CogAT does not measure; identifies creative potential before reading fluency exists","Wallach-Kogan Creativity Test - Instances (public paradigm)","https://upseducation.com/wallach-kogan-creativity-test/","research_described","adapt_ok - public paradigm; administer orally with a simple fluency/flexibility rubric"
"CX-004","complementary","divergent_thinking","Similarities task: list as many ways as possible that two unlike things (e.g., an apple and an orange) are alike; scored for fluency, flexibility, originality","6-8","example_item","verbal","divergent thinking / conceptual flexibility","constructed","'connection hunter' mini-game awarding points for unexpected but valid links; streak bonuses for novel categories","low - open-ended; scoring key required, not adaptive","med - originality and remote-association responses can flag creative talent, but reliable originality scoring is hard","subjective scoring; verbal-knowledge load; test-prep can inflate fluency; raters may over-credit familiar answers","measures flexible/remote association central to creativity that CogAT's single-answer analogies do not reward; widens the creativity net","Wallach-Kogan Creativity Test - Similarities (public paradigm)","https://upseducation.com/wallach-kogan-creativity-test/","research_described","adapt_ok - public paradigm; pair with an originality key derived from local response frequencies"
"CX-005","complementary","figural_creativity","Pattern/Line Meanings: child views an abstract shape or line and names/draws all the things it could be; scored for fluency and originality of interpretations","2-3","example_item","figural","divergent/figural imagination","constructed","'what could it be?' reveal game where an ambiguous doodle morphs as the child names ideas; drawing or tapping supported","low - open figural generation; needs rubric/automated image or caption scoring","med - figural originality is a distinct talent channel, but scoring reliability limits high-tail precision","subjective scoring; drawing/fine-motor and verbal-labeling confounds; practice effects; rater halo toward neat drawings","taps nonverbal figural creativity CogAT never scores; especially valuable for ELL and expressive-language-delayed students (equity)","Wallach-Kogan Creativity Test - Pattern/Line Meanings (public paradigm)","https://upseducation.com/wallach-kogan-creativity-test/","research_described","adapt_ok - public figural paradigm; useful low-language creativity channel for young/ELL learners"
"CX-006","complementary","figural_creativity","standardized figural creativity battery: picture construction, picture completion, and repeated-lines drawing tasks scored on fluency, originality, abstractness of titles, elaboration, and resistance to premature closure","K-8","item_type","figural","figural divergent thinking","constructed","drawing-based tasks feel like art play rather than a test; children add to and title their own pictures","low - fixed drawing prompts scored by trained raters or a scoring service; not adaptive","med - normed figural creativity indices identify creatively gifted students, including in multicultural settings, but scoring cost/subjectivity constrain the tail","proprietary trained scoring reduces but does not remove subjectivity; coachable via practice; not a faking risk (performance task) but resource-intensive","a normed creativity dimension CogAT lacks; widely used precisely to identify creatively gifted students that ability tests miss (equity in diverse populations)","Torrance Tests of Creative Thinking (TTCT) Figural - Scholastic Testing Service","https://www.ststesting.com/gift/","proprietary_describe_only","describe_only - commercial instrument (STS); catalog the dimensions only, do not reproduce items; license if adopted"
"CX-007","complementary","divergent_thinking","standardized verbal creativity battery: ask-and-guess, product improvement, unusual uses, and 'just suppose' word tasks scored on fluency, flexibility, and originality","K-8","item_type","verbal","verbal divergent thinking","constructed","open 'imagine if' prompts invite storytelling and playful speculation rather than right/wrong answers","low - fixed prompts, trained/service scoring; not adaptive","med - normed verbal creativity separates creative talent but carries a high verbal-expression and scoring-reliability load","scoring subjective despite manuals; strong verbal/reading load (grade 1+); coachable; disadvantages ELL and reluctant writers","adds a normed verbal-creativity signal absent from CogAT; identifies idea-generation talent a reasoning test cannot","Torrance Tests of Creative Thinking (TTCT) Verbal - Scholastic Testing Service","https://www.ststesting.com/gift/","proprietary_describe_only","describe_only - commercial instrument (STS); Verbal form is grade 1-adult; describe dimensions, license before use"
"CX-008","complementary","divergent_thinking","Consensual Assessment Technique: independent expert judges rate a child's actual creative product (story, invention, drawing) for creativity without a fixed rubric; consensus score = creativity","K-8","item_type","mixed","creative production (real product)","constructed","children submit a real creation they care about (a comic, a contraption); framed as a 'maker showcase' rather than a test","low - product-based, human expert judging; cannot be adaptive or auto-scored reliably","med-high - authentic products can reveal exceptional creativity at the tail, but depend on expert-panel availability and agreement","judge subjectivity and halo; product may reflect adult/home help (SES bias); resource-intensive; not fakeable like self-report, but authorship must be verified","evaluates demonstrated creative output CogAT cannot elicit; captures real-world creative talent, complementing an ability score","Consensual Assessment Technique (Amabile) discussed in divergent-thinking scoring review","https://www.sciencedirect.com/science/article/pii/S1053811920308119","research_described","adapt_ok - method is public; requires trained judges and clear authorship/provenance rules"
"CX-009","complementary","task_commitment","Academic Diligence Task: student freely allocates time between tedious-but-beneficial math practice and available distractions (games/videos); score = percent time-on-task / problems completed","6-8","example_item","interactive","effort allocation / self-regulation (behavioral)","timed_tap","real, tempting distractions sit one tap away, making the choice to persist authentic; a progress bar rewards sustained effort","low - fixed behavioral protocol timed across blocks; not a CAT but automatable and objectively scored","med - behaviorally separates diligent students and predicts GPA/achievement beyond IQ, though single-session estimates are noisy","behavioral (not self-report) so far less fakeable, but effort is state/motivation dependent and can be gamed if stakes are known; distraction appeal varies by child","directly observes task commitment/diligence (Renzulli) that CogAT never measures; flags persistent under-the-radar students and de-emphasizes pure speed","Academic Diligence Task (Galla, Duckworth et al., 2014)","https://pmc.ncbi.nlm.nih.gov/articles/PMC4170650/","research_described","adapt_ok - published free behavioral task; re-skin distractions age-appropriately and validate locally"
"CX-010","complementary","task_commitment","delay-of-gratification wait task: child can take a small reward now or wait to earn a larger one; score = wait time / choice to delay","K-1","example_item","interactive","self-control / delay of gratification (behavioral)","timed_tap","on-screen 'treasure grows if you wait' animation with an optional 'take it now' button; the temptation is visible and real","low - single behavioral protocol; objectively timed, not adaptive","low - wait times are highly context/trust dependent and later replications show weak, attenuated predictive validity once background is controlled","strongly influenced by trust in the tester and home environment (SES confound); coachable via strategies; weak long-run predictiveness (Watts et al.) - use only as a minor complementary signal","observes self-regulation CogAT ignores, but its fragility is a caution: it broadens signals yet must not be over-weighted","Stanford marshmallow / delay-of-gratification paradigm (Mischel)","https://en.wikipedia.org/wiki/Stanford_marshmallow_experiment","research_described","adapt_ok - public paradigm; treat cautiously given replication concerns and SES/trust confounds"
